title,genres,categories,reviews
Blood Pact,"Adventure,Military",Science Fiction & Fantasy,"Dan Abnett and Toby Longworth are the best possible combination. Another fantastic book. Honestly, I've been looking forward to this day for quite some time, because now I'm going back and listening to them all, in a row. Now that I mention it I'll just do the entirety of the Sabbat Crusade books, see yall in what like, couple hundred hours?,Do you want to live forever?,different from the usual style, no massive battles this time but still well worth a listen"
Fall for You,"Romance,Contemporary",LGBTQ+,"I love the author and J.F. Harding is a definite fav narrator.  Story starts off with us meeting Carson along with his grumpiness and he's got reasons too.  Then there's Davis who we meet next in a restaurant and we see him get fired and blamed Carson but truthfully he wasn't very good at this job.  Carson's mom is next and I liked how she got these two together.  I also liked the flow of the story and of course there were some characters you have to warm up to but that's the fun sometimes. For me this was a low angst sexy story I finished very quickly that I really enjoyed a lot.  I was rolling my eyes at Davis mom sometimes but I got over it. Both Carson and Davis made some not so good decisions in their love life but we get to hear them work thru their issues and bring us that HEA we all love and need.  I've already added this one to my favorites.,Another win for Felice! Such a beautiful story! I love it so much!! JF did a fantastic job narrating!"
Caught Sleeping,Romance,LGBTQ+,"I love this story! It is captivating and exciting!! I used to play soccer and absolutely love the sport side of this book!! Abby Craden is the BEST!!,The combination of Jen Lyon's writing & Abby Craden's narration was top notch again. These two are destined for a very bright future working together. I thought The Senator's Wife was superb, but Caught Sleeping has surpassed that."
"The False Hero, Volume 8",Action & Adventure,Science Fiction & Fantasy,Hopefully the next book will be on audible soon because the story keeps getting better
Another Girl,"Traditional Detectives,Crime Thrillers","Mystery, Thriller & Suspense",no reviews
Finally Forever,Contemporary,Romance,"Love the story I don’t like the relationship between the Dad and Molly. But it makes me happy she gets her HEA.,After listening for the second time, my opinion is still the same, great job NADIA LEE… listening to the “O” inducing voice of Sebastian York, major plus… Nicholas Lasker, much like the rest of his Lasker Brothers, is every woman’s fantasy. Pairing his personality with that of Molly Green, and you know that you’re in for a real treat. I refuse to give spoilers, all I can say it’s worth the credit or cash…,Good listen, The Lasker brothers never disappoint, now patiently waiting for 6th,Cannot go past Sebastian York narration."
"Azarinth Healer, Book Three",,,no reviews
Prophet Song,"Genre Fiction,Literary Fiction,Political,Dystopian",Literature & Fiction,"Welcome to Dystopia. Without context one dystopia is as good as another. Some, ANY, context would lend believability to the story. And Ireland!! For gods sake, anywhere but Ireland. Just doesn't ring true. Critics laud the absence of a back story claiming that this nasty autocratic, villainous government could apply to any nasty villainous government anywhere. That's the problem!,The writing is also marred by ""overmetaphorization"". If one metaphor is good then two or three is better. Every item is encrusted with frilly prose which is distracting and slows the pace of the narrative"
What Do You Know About Human Harvesting?,Unexplained Mysteries,Religion & Spirituality,no reviews
Sylver Seeker 2,Epic,Science Fiction & Fantasy,no reviews
Faking with Benefits,Romantic Comedy,Romance,"This audiobook nearly killed me!!! 🧯❤️‍🔥,The spice is melt-your-kindle hot. I guess I enjoy the fake dating and give me my first O tropes, a lot. Those “lessons” escalated quickly—in the best way. 🥵😮‍💨 My first contemporary reverse harem and I have no regrets. I adore these characters, their journey, and the endless banter.,,Can all audiobooks please be recorded in duet or group narration?! BECAUSE the group narration sections elevated the listening experience. 🤌 It was like listening to a real podcast or radio segment.,,Outstanding cast. A+ production value. 100% worth the credit.,,🎧 Recommended Listening Speed: 1.7+,,,,,,I’ve been waiting for Lily Gold’s books to come out on Audible for ages and this did not disappoint! All the characters were completely likeable, despite their flaws, and how they brought out the best in one another was lovely. I enjoyed the spice rather a lot and all of the narrators were fabulous - Will Watt and his Yorkshire accent was my favourite. Can’t wait for Lily’s next book next month - I’ve already preordered it. If you like spice with a storyline, then you’ll like this.,Loved this beautiful story. It has such steamy moments but then also some heart in the mouth, tears in the eyes heartbreaking moments too.,The narration by Faye Adele, Shane East, Will Watt & John York is fabulous. Especially the multicast podcast sections."
Bikini Days,Contemporary,Romance,"I love the characters ,I loved the nonfiction setting and I loved the fact that it wasn't a lit RPG this just goes to show that good slice of life's don't always need to have fantasy settings for men.,A fun read with some great buildup till the man attraction. It's book 1 of 3 so can't wait to see what happens.,there's nothing I didn't like about this story it's was chilled simple and played well I hope the writer does more like this I love slice of life"
"Blue Core, Book Three",Action & Adventure,Science Fiction & Fantasy,no reviews
In Your Wildest Dreams,"Contemporary,Sports",Romance,"Audiobook Review,Narrators were 5 ⭐️ and I hate that i didn’t love this book because I love Rebecca’s books. It just feel flat for me. I was disappointed that it took her so long to be interested in him. And really that’s all on me. Writing a book is already amazing so I hate to say this wasn’t my favorite because of all the time and energy it takes to Even write a book.,Ash was amazing. I loved him so sweet and caring and careful with her, her ex gabe was a tool and I wish more would have happened with him, like legally. It was cute and fun just wasn’t my favorite at the moment.,I love this series, and watching Ash Kelly throughout didn't give me his true side until now. What a dreamboat and just an all-around great guy. I love all of the Wildcats, but now Ash is my favorite.,,When Ash first lays eyes on Bridgett, it is obvious the guy she is with is a jerk and that she isn't happy but such is life and it was just a chance meeting. Now fast forward, fate has brought them back together, and Ash is determined to get Bridgett to go out with him.,,Bridgett is attracted to the tall handsome hockey player but she knows if she gives in to those attractions it will mean trouble for him from her ex. Gabe is a terrible guy and he now can cause problems for Ash on the team. Bridgett isn't willing to let that happen.,,These two are great for each other and the team and girls who love them are there for both of them. There were some moments for Bridgett that were tough to deal with and I was so glad to see her get to the other side. Ash has a heart of gold and there is so much to this man. I just loved their story and all the supporting characters that were there for them.,,Erin Mallon, and Jason Clarke are amazing narrating this wonderful book. They brought their A game and scored. They were both great from beginning to end. Loved listening to them both.,,This book is 5 stars for me. I loved it and highly recommend it.,I love Rebecca Jenshank’s hockey series and this installment does not miss on giving you everything you are looking for!,The story I have been waiting for and it was perfect!!! From the adorable meet cute at the hockey game to all the flirting and little pick up lines, Ash & Bridget’s story was so just enjoyable! The night they met didn’t go as planned as Bridget had a boyfriend but fate that brought them back together again. However, their dynamic was a slow burn, despite what Ash wanted as Bridget was still dealing with things from her ex. It made their development feel so natural and realistic which I appreciated as it just built up their need for each other even more. Ash was also SO perfect for her as even though he was persistent, he was patient at the same time and never pushed her when asking her out. And yay for no 3rd act break ups! It just made their story even better as we watched them grow from flirting to kissing to more!!,Sports Romance,Hockey Player/Nurse,Boy Obsessed,He Falls First,Found Family,The dynamic duo, Jason Clarke and Erin Mallon gave an outstanding performance for this audiobook! I love when these two do audios together and as always they did not disappoint! They both captured the personalities of Ash and Bridget with their tones and emotions which made it so easy to get lost in the story! After it ended I just wanted more of them as they truly make you fall in love with the characters using their voices! I absolutely loved this one on audio!!,4.5 stars! In Your Wildest Dreams is book 4 in the Wildcat Hockey series and I was so excited about this one after binging the first 3 earlier this year. This is a hockey romance, where he falls first, she’s his nurse, has found family vibes, and “who did this” energy. And omg I loved it so much!,I loved Ash Kelly and how much he’s totally into Bridget from the start. This starts off at a hockey game, he’s warming up but spots her in the stands and is instantly into her, he even tosses her a puck asking for her number even though she’s clearly on a date there with someone else. 😂 I just adored how cocky and flirty he is, she asks if he should be skating around or something instead of trying to talk to her, he says he can’t since he just me his future wife and needs to know if she’s single!,About a month later they meet again, when he’s in the hospital after a concussion and she’s his nurse! He can’t believe his luck to see her again and isn’t going to let her slip away so easily this time when he finds out she’s now single. I just adored these two together! I loved how determined he is to win her over and just to help her out in general. He finds her an apartment when she needs one, with some of his friends. Which the friend group in here/in this series is just so good! Things also get complicated when her toxic/abusive ex becomes an assistant to the team’s GM and finds out they’re seeing one another!,CW: abusive ex (verbal, physical, mental),My favorite two narrators. Loved the performance and the story was super sweet. 5/5,This is the fourth book in the Wildcat Hockey Series, a Sports Romance.  Ash and Bridget's story is beautifully written, sweet, and heartwarming, filled with passion, and drama.  Ash, a pro hockey player, is handsome, charming, kind, and supportive.  Bridget is beautiful,  smart, and determined.  They are perfect together.  I liked the friendship in the story.   This is a beautiful story.  Erin Mallon and Jason Clarke did an excellent job bringing these characters, and this story to life.  I like this series, and I highly recommend it."
Vow Maker,"Romance,Contemporary",LGBTQ+,no reviews
Matrimonial Merriment,"Mystery,Holidays,Romance",LGBTQ+,"The Story:,Matrimonial Merriment is hands down my most anticipated book of the year!,With each new book release, I swear it's my favourite. I can say without a doubt that Matrimonial Merriment is my favourite of the series.,This book is off the charts romantic.,This book is everything Quaid. Ever sneering and ever worrying.,This book is everything Aslan. Ever supportive and ever loving.,We get a front row seat to Quaid and Aslan's wedding planning, with Torin and Ruiz being the best men possible.,There is no mystery to solve in this book, but with everything going on to pull off the most magical wedding, it's not missed.,Aslan has always been my guy, but after everything that Quaid went through, I'm so happy that Nicky gave Quaid the best guy. His prince.,I know this isn't the last we will see of Quaid and Aslan, as I'm look forward to getting to know new MCs in her spin-off.,The Narration:,Perfect! Nick J Russo did an amazing job with this book! He added another dimension to my favourite book of this series! I had the biggest smile on my face while listening to this book, and couldn't help laughing as he voiced Barnabus.,Loved every bit of this book,❤️💚💛🩶🤍,"
Their Lost Souls,"Women Sleuths,Crime Thrillers","Mystery, Thriller & Suspense","I didn't hate the book but it was not as good as earlier books.  I do like the series and hope the next one will be a bit more engaging.,It was a nice distraction in the Tori Hunter series. Interesting to follow the characters, how they evolve￼,There was no depth to the story, no mystery, no suspense, and I definitely was not thrilled. Although, I usually enjoy these books, but this one was severely lacking and disappointing. Can't say I'm done with the series, however, I hope the next one is better.,Tori and Braddock have settled into life as a couple, along w his son, Quinn.  This story starts off with the brutal murder of a teenage couple, one is the daughter of the man who once saved Tori’s life.  As Tori and Braddock search for the killers, they are betrayed by someone close to Tori.,Good, fast paced story"
