title,subtitle,authors,narrators,series,length,release_date,language,rating,no_of_ratings,regular_price,sales_price,category,genres,url
Dungeon Diving 104,,['Bruce Sentar'],"['Lewis Alexander', 'Rozelyn Rader']",Dungeon Diving,Length: 11 hrs and 50 mins,Release date: 12-05-23,Language: English,5 out of 5 stars,87 ratings,$24.95,,,[],https://www.audible.com/pd/Dungeon-Diving-104-Audiobook/B0CPJQFV5H?qid=1702366222&sr=1-1&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
He's Not My Type,"Vancouver Agitators Series, Book 4",['Meghan Quinn'],"['Connor Crais', 'Erin Mallon', 'Teddy Hamilton', 'Jason Clarke', 'J.F. Harding', 'Kelsey Navarro-Foster']",The Vancouver Agitators,Length: 11 hrs and 40 mins,Release date: 11-28-23,Language: English,5 out of 5 stars,440 ratings,$24.95,,,[],https://www.audible.com/pd/Hes-Not-My-Type-Audiobook/B0CMJSQSJF?qid=1702366222&sr=1-2&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Moral Stand,"Aether's Revival, Book 7",['Daniel Schinhofen'],['Andrea Parsneau'],Aether's Revival,Length: 13 hrs and 3 mins,Release date: 11-17-23,Language: English,5 out of 5 stars,181 ratings,$24.95,,,[],https://www.audible.com/pd/Moral-Stand-Audiobook/B0CNKVXCJ6?qid=1702366222&sr=1-3&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
LLC Beginner’s Guide,How to Successfully Start and Maintain a Limited Liability Company Even if You’ve Got Zero Experience: A Complete Up-to-Date & Easy-to-Follow Guide,['Walter Grant'],['John Killawee'],,Length: 3 hrs and 8 mins,Release date: 11-03-23,Language: English,5 out of 5 stars,51 ratings,$14.95,,,[],https://www.audible.com/pd/LLC-Beginners-Guide-Audiobook/B0CMFJ7Y64?qid=1702366222&sr=1-4&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
How to Talk to Anyone and Enchant Them into Liking You,"Proven Techniques to Become a People-Magnet by Building Positive, Lasting Relationships and Becoming the Most Likable Person in the Room",['Carl Wolfe'],['Tim Alexander'],,Length: 3 hrs and 21 mins,Release date: 11-03-23,Language: English,5 out of 5 stars,50 ratings,$14.95,,,[],https://www.audible.com/pd/How-to-Talk-to-Anyone-and-Enchant-Them-into-Liking-You-Audiobook/B0CMF9B353?qid=1702366222&sr=1-5&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Freedom from Your Addiction,Take Care of Your Life Now,['Henry Matthias'],['KC Wayman'],,Length: 3 hrs and 19 mins,Release date: 11-16-23,Language: English,5 out of 5 stars,50 ratings,$14.95,,,[],https://www.audible.com/pd/Freedom-from-Your-Addiction-Audiobook/B0CNDGZ84N?qid=1702366222&sr=1-6&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Negotiating from a Position of Weakness,"An 18 Step Comprehensive Negotiation System to Turn Vulnerability into Strength: Proven Techniques for Building Empathy, Embracing Vulnerability, and More",['David Whitehead'],['Gerhard Weigelt'],,Length: 7 hrs and 7 mins,Release date: 11-14-23,Language: English,5 out of 5 stars,50 ratings,$19.95,,,[],https://www.audible.com/pd/Negotiating-from-a-Position-of-Weakness-Audiobook/B0CNB17GP4?qid=1702366222&sr=1-7&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Thunderplump,"An Epic Fantasy LitRPG Adventure (The Completionist Chronicles, Book 11)",['Dakota Krout'],['Luke Daniels'],The Completionist Chronicles,Length: 12 hrs and 13 mins,Release date: 12-04-23,Language: English,5 out of 5 stars,132 ratings,$24.95,,,[],https://www.audible.com/pd/Thunderplump-Audiobook/B0CPFXSNQL?qid=1702366222&sr=1-8&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Born to Be Badger,"The Honey Badger Chronicles, Book 5",['Shelly Laurenston'],['Charlotte Kane'],Honey Badger Chronicles Series,Length: 10 hrs and 38 mins,Release date: 11-28-23,Language: English,5 out of 5 stars,98 ratings,$20.99,,,[],https://www.audible.com/pd/Born-to-Be-Badger-Audiobook/B0CNDFWW3N?qid=1702366222&sr=1-9&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"How to Talk to Anyone, Even Kids","A Dad’s Guide to the Secret Language of Kids That Their Wives Seem to Know Instinctively, That Builds Stronger Connections, and Grabs Kids’ Attention Without Yelling",['Carl Wolfe'],['Tim Alexander'],,Length: 3 hrs and 19 mins,Release date: 11-15-23,Language: English,5 out of 5 stars,41 ratings,$14.95,,,[],https://www.audible.com/pd/How-to-Talk-to-Anyone-Even-Kids-Audiobook/B0CNBTXVGZ?qid=1702366222&sr=1-10&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Great Gatsby,Original 1925 Edition,['F Scott Fitzgerald'],['Shallenberg'],,Length: 5 hrs and 35 mins,Release date: 11-13-23,Language: English,5 out of 5 stars,36 ratings,$19.95,,,[],https://www.audible.com/pd/The-Great-Gatsby-Audiobook/B0CN3XXWFF?qid=1702366222&sr=1-11&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Shadow Work Mastery Collection,"The Beginner’s Guide to Trauma Recovery, Emotional Well-Being and Soul Healing Through Shadow Integration & Inner Child Work",['Y.D. Gardens'],['Poppy Royana'],,Length: 6 hrs and 27 mins,Release date: 11-20-23,Language: English,5 out of 5 stars,37 ratings,$19.95,,,[],https://www.audible.com/pd/Shadow-Work-Mastery-Collection-Audiobook/B0CNQPTT6B?qid=1702366222&sr=1-12&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Thesaurize,"The Completionist Chronicles, Book 10",['Dakota Krout'],['Luke Daniels'],The Completionist Chronicles,Length: 11 hrs and 40 mins,Release date: 11-06-23,Language: English,5 out of 5 stars,360 ratings,$24.95,,,[],https://www.audible.com/pd/Thesaurize-Audiobook/B0CMR1XPQY?qid=1702366222&sr=1-13&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Paladin of the Seraph,"Paladin of the Sigil, Book 4",['Marvin Knight'],['Jessica Threet'],Paladin of the Sigil,Length: 22 hrs and 39 mins,Release date: 11-08-23,Language: English,5 out of 5 stars,57 ratings,$29.95,,,[],https://www.audible.com/pd/Paladin-of-the-Seraph-Audiobook/B0CMS2M37M?qid=1702366222&sr=1-14&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Dead Reckoning,"Omega Force, Book 15",['Joshua Dalzelle'],['Paul Heitsch'],Omega Force,Length: 8 hrs and 26 mins,Release date: 12-05-23,Language: English,5 out of 5 stars,54 ratings,$19.95,,,[],https://www.audible.com/pd/Dead-Reckoning-Audiobook/B0CNTZNKPJ?qid=1702366222&sr=1-15&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
When Gracie Met The Grump,,['Mariana Zapata'],"['Callie Dalton', 'Connor Crais']",,Length: 19 hrs and 20 mins,Release date: 11-15-23,Language: English,5 out of 5 stars,194 ratings,$24.95,,,[],https://www.audible.com/pd/When-Gracie-Met-The-Grump-Audiobook/B0CNDBG3VN?qid=1702366222&sr=1-16&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Dead Serious Case #2: Mrs Delores Abernathy,"Crawshanks Guide to the Recently Departed, Book 2",['Vawn Cassidy'],['Joel Leslie'],Crawshanks Guide to the Recently Departed,Length: 8 hrs and 34 mins,Release date: 11-17-23,Language: English,5 out of 5 stars,48 ratings,$19.95,,,[],https://www.audible.com/pd/Dead-Serious-Case-2-Mrs-Delores-Abernathy-Audiobook/B0CNHGB7SY?qid=1702366222&sr=1-17&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Quantum Computing Explained for Beginners: The Science, Technology, and Impact",,['Pantheon Space Academy'],['Grant Benker'],,Length: 8 hrs and 30 mins,Release date: 11-14-23,Language: English,5 out of 5 stars,46 ratings,$19.95,,,[],https://www.audible.com/pd/Quantum-Computing-Explained-for-Beginners-The-Science-Technology-and-Impact-Audiobook/B0CN9TCLP1?qid=1702366222&sr=1-18&ref_pageloadid=lKeM4jw2D71tFz7T&ref=a_search_c3_lProduct_1_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=8XVN8CYP6VREH2RSC4SK&pageLoadId=skUVBkWAtKMYAaAt&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
